observed_on,time_observed_at,coordinates_obscured,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
9/3/2019,2019-09-03 15:00:20 UTC,FALSE,Monongalia,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/5/2019,2019-09-05 16:03:47 UTC,FALSE,Monongalia,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/7/2019,,FALSE,Cabell,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/1/2019,2019-09-01 19:08:58 UTC,FALSE,Berkeley,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/7/2019,2019-09-07 18:25:00 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/11/2019,2019-09-11 12:57:06 UTC,FALSE,Monongalia,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/11/2019,2019-09-11 17:04:52 UTC,FALSE,Ohio,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/11/2019,2019-09-12 04:01:08 UTC,FALSE,Ohio,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/11/2019,2019-09-11 15:07:00 UTC,FALSE,Randolph,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/12/2019,2019-09-12 12:51:37 UTC,FALSE,Taylor,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/11/2019,2019-09-11 12:53:00 UTC,FALSE,Monongalia,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/15/2019,2019-09-15 20:49:09 UTC,FALSE,Wood,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/15/2019,2019-09-15 22:56:21 UTC,FALSE,Cabell,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/18/2018,,FALSE,Wood,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/26/2012,,FALSE,Wood,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/23/2019,2019-09-23 15:47:09 UTC,FALSE,Fayette,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/28/2019,2019-09-28 15:02:57 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/28/2019,2019-09-28 13:43:00 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/10/2018,,FALSE,Preston,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/30/2013,2013-09-30 13:31:00 UTC,FALSE,Mercer,Monarch,Danaus plexippus,Monarch,Insecta,48662
10/13/2019,2019-10-13 17:26:04 UTC,FALSE,Pocahontas,Monarch,Danaus plexippus,Monarch,Insecta,48662
10/15/2019,2019-10-15 18:44:00 UTC,FALSE,Randolph,Monarch,Danaus plexippus,Monarch,Insecta,48662
10/27/2019,,FALSE,Hardy,Monarch,Danaus plexippus,Monarch,Insecta,48662
10/12/2016,2016-10-12 18:37:00 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/27/2011,2011-08-27 16:28:00 UTC,FALSE,Preston,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/28/2011,2011-08-28 17:01:00 UTC,FALSE,Barbour,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/11/2013,2013-08-11 21:51:00 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/2/2015,2015-08-02 17:29:00 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/21/2019,2019-08-21 14:16:31 UTC,FALSE,Monongalia,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/17/2019,2019-07-17 15:30:07 UTC,FALSE,Monongalia,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/19/2019,2019-09-19 19:04:14 UTC,FALSE,Randolph,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/5/2019,2019-07-05 14:19:14 UTC,FALSE,Wood,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/6/2016,2016-09-06 21:59:00 UTC,FALSE,Hardy,Monarch,Danaus plexippus,Monarch,Insecta,48662
